//EXTRASUNNY
//Midnight
96 126 184  30 87 217  47 94 196  -1  0  116  0 112 255  0 0 0  -1  -1  -1  -1  1.2  1500  50  35 9 10  26 30 36  43 50 54 154  2.69  0.3  0.71  4.94  107 133 138  0 0 0  0.34  1  0.78  0.83  1  1.19  15.75  182.64  19.88  256  0.1  0  1  3.51  3.57  1.84  0  0  1.389  0.494118 0.494118 0.494118  0.811765 0.880214 1  0.52549 0.6082 0.752941  0.309804 0.309804 0.360784  1  4.976  0.162  -1  -1  0.435294 0.435294 0.435294  0.603  0.998  0.265  0.132  -1 0.757  8  0.667  1.7  -1  0.088  0.675  0.124  0.89  1.265  0.666 0.666 0.666  0.063  0.886275 0.886275 0.886275  0.624  6.9  0.32  0.18  0.029  24.962 25 26  0.114  1.057  -1  -1  0  0  1000  -1  -1  0  0  3.498  0.75  1  1  1  0.8  2  1  1
//5AM
128 153 186  93 115 199  252 252 252  -1  0  100  23 99 251  41 39 39  -1  -1  -1  -1  1.2  1500  54  35 9 10  26 30 36  45 45 45 168  2.28  0.25  0.69  1.23  103 130 134  0 0 0  0.51  1  0.85  0.83  1  1.35  15.79  174.12  16.93  256  0.1  0  2.5  3.69  3.85  2.75  2  1  1.08  0.372549 0.460549 0.572549  0.819608 0.870588 0.921569  0.552941 0.668119 0.792157  0.352941 0.391059 0.458824  1  4.5  0.168  -1  -1  0.443137 0.443137 0.443137  0.569  1.044  0.26  0.132  -1 0.757  8  0.667  1.7  -1  0.088  0.631  0.124  0.892  1.265  0.686 0.686 0.686  0.075  0.894118 0.841317 0.792157  0.55  9.697  0.484  0.165  0.024  24 25 26  0.095  0.882  -1  -1  0  0  1000  -1  -1  0.141  0.428  1  1  1  1  1  0.733  2  1  1
//6AM
160 191 254  53 143 239  255 245 230  -1  0  21  139 200 251  249 237 237  -1  -1  -1  -1  1  1500  73.97  113 115 113  106 105 102  3 38 56 239  0.24  0.01  0.6  1.55  86 116 117  0 0 0  0.65  1  0.71  0.82  1  1.17  16.01  131.49  2.19  254.89  0.17  71  7.79  1.69  3.25  5.35  12.5  9  0.379  0.729412 0.811578 0.945098  0.513726 0.704504 0.866667  1 0.865342 0.698039  0.568627 0.709804 0.956863  1  2.202  0.2  -1  -1  0.478431 0.478431 0.478431  0.401  1.276  0.238  0.132  -1 0.757  8  0.667  1.7  -1  0.09  0.408  0.124  0.901  1.265  0.794 0.793 0.793  0.138  0.945098 0.861976 0.760784  0.177  23.683  0.006  0.674  0  24.029 25 26  0.002  0.005  -1  -1  0  0  1000  -1  -1  0.216  1  1.061  1.1  1  1  1  0.9  2  1  1
//7AM
166 199 255  42 123 250  237 183 95  -1  0  24  140 202 255  255 255 255  -1  -1  -1  -1  1  1500  73.03  119 120 120  105 105 105  2 7 10 239  0.14  0  0.61  2.88  120 105 84  0 0 0  0.66  1  0.71  0.82  1  1.18  15.99  127.95  1.46  255.92  0.17  77  17  4  4.5  12.75  13  10  0.4  0.741176 0.824314 0.94902  0.486275 0.694012 0.870588  1 0.864962 0.698039  0.588235 0.737968 1  1  1.86  0.203  -1  -1  0.478431 0.478431 0.478431  0.396  1.296  0.252  0.132  -1 0.757  8  0.667  1.7  -1  0.088  0.4  0.124  0.89  1.265  0.8 0.8 0.8  0.14  0.952941 0.866282 0.760784  0.164  25  0  0.685  0  24 25 26  0  0  -1  -1  0  0  1000  -1  -1  0.225  1  1.05  1  1  1  1  0.6  2  1  1
//9AM
184 209 252  122 179 255  252 245 235  -1  0  0  82 152 217  255 255 255  -1  -1  -1  -1  1  1500  100  58 72 40  199 230 196  6 14 18 240  0.14  0.16  0.62  4.3  130 120 98  0 0 0  0.63  1  0.6  0.51  1  0.9  16  128  1.53  256  0.1  217  17  4.75  5  19.25  13  10  0.36  0.396078 0.552941 0.788235  0.45098 0.694754 0.901961  0.901961 0.70028 0.45098  0 0.363636 1  1  16.66  0.155  -1  -1  0.290196 0.290196 0.290196  0.102  1.066  0  0.132  -1 0  8  0.667  1.7  -1  0.354  0.354  0.5  0.4  0.435  0.102 0.102 0.102  1.265  0.658824 0.657055 0.654902  0  1.7  0  0.685  0  24 25 26  0  0  -1  -1  0  0.296  1000  -1  -1  0.2  1  1  0.8  1  1  1  0.7  2  1  1
//Midday
